"id","reel_number","name","uid","tid","epc","axis_surface","status","reserved"
"1","D0800X001","440800A001",NULL,"E2801170200003A6FACD0B5F","35412204000000440800A001","A",NULL,NULL
"2","D0800X001","440800A001",NULL,"E280117020001346FACD0B5F","35412204000000440800A001","A",NULL,NULL
"3","D0800X002","440800A002",NULL,"E280117020001516FAD00B5F","35412204000000440800A002","A",NULL,NULL
"4","D0800X002","440800A002",NULL,"E2801170200013B6FACD0B5F","35412204000000440800A002","A",NULL,NULL
"5","D0800X003","440800A003",NULL,"E280117020001526FAD00B5F","35412204000000440800A003","A",NULL,NULL
"6","D0800X003","440800A003",NULL,"E2801170200003C6FACD0B5F","35412204000000440800A003","A",NULL,NULL
"7","D0800X004","440800A004",NULL,"E280117020000536FAD00B5F","35412204000000440800A004","A",NULL,NULL
"8","D0800X004","440800A004",NULL,"E280117020000596FAD00B5F","35412204000000440800A004","A",NULL,NULL
"9","D0800X005","440800A005",NULL,"E280117020001546FAD00B5F","35412204000000440800A005","A",NULL,NULL
"10","D0800X005","440800A005",NULL,"E2801170200005A6FAD00B5F","35412204000000440800A005","A",NULL,NULL
"11","D0800X006","440800A006",NULL,"E2801170200015B6FAD00B5F","35412204000000440800A006","A",NULL,NULL
"12","D0800X006","440800A006",NULL,"E280117020000126FAD50B5F","35412204000000440800A006","A",NULL,NULL
"13","D0800X007","440800A007",NULL,"E2801170200005C6FAD00B5F","35412204000000440800A007","A",NULL,NULL
"14","D0800X007","440800A007",NULL,"E280117020001136FAD50B5F","35412204000000440800A007","A",NULL,NULL
"15","D0800X008","440800A008",NULL,"E280117020000146FAD50B5F","35412204000000440800A008","A",NULL,NULL
"16","D0800X008","440800A008",NULL,"E2801170200011A6FAD50B5F","35412204000000440800A008","A",NULL,NULL
"17","D0800X009","440800A009",NULL,"E280117020001156FAD50B5F","35412204000000440800A009","A",NULL,NULL
"18","D0800X009","440800A009",NULL,"E2801170200001B6FAD50B5F","35412204000000440800A009","A",NULL,NULL
"19","D0800X010","440800A010",NULL,"E2801170200011C6FAD50B5F","35412204000000440800A010","A",NULL,NULL
"20","D0800X010","440800A010",NULL,"E280117020000326FAD80B5F","35412204000000440800A010","A",NULL,NULL
"21","D0800X011","440800A011",NULL,"E280117020001336FAD80B5F","35412204000000440800A011","A",NULL,NULL
"22","D0800X011","440800A011",NULL,"E2801170200001D6FAD50B5F","35412204000000440800A011","A",NULL,NULL
"23","D0800X012","440800A012",NULL,"E2801170200013A6FAD80B5F","35412204000000440800A012","A",NULL,NULL
"24","D0800X012","440800A012",NULL,"E280117020000346FAD80B5F","35412204000000440800A012","A",NULL,NULL
"25","D0800X013","440800A013",NULL,"E280117020001356FAD80B5F","35412204000000440800A013","A",NULL,NULL
"26","D0800X013","440800A013",NULL,"E2801170200003B6FAD80B5F","35412204000000440800A013","A",NULL,NULL
"27","D0800X014","440800A014",NULL,"E280117020000526FADB0B5F","35412204000000440800A014","A",NULL,NULL
"28","D0800X014","440800A014",NULL,"E2801170200013C6FAD80B5F","35412204000000440800A014","A",NULL,NULL
"29","D0800X015","440800A015",NULL,"E280117020001536FADB0B5F","35412204000000440800A015","A",NULL,NULL
"30","D0800X015","440800A015",NULL,"E2801170200003D6FAD80B5F","35412204000000440800A015","A",NULL,NULL
"31","D0800X016","440800A016",NULL,"E2801170200015A6FADB0B5F","35412204000000440800A016","A",NULL,NULL
"32","D0800X016","440800A016",NULL,"E280117020000546FADB0B5F","35412204000000440800A016","A",NULL,NULL
"33","D0800X017","440800A017",NULL,"E2801170200005B6FADB0B5F","35412204000000440800A017","A",NULL,NULL
"34","D0800X017","440800A017",NULL,"E280117020001556FADB0B5F","35412204000000440800A017","A",NULL,NULL
"35","D0800X018","440800A018",NULL,"E2801170200015C6FADB0B5F","35412204000000440800A018","A",NULL,NULL
"36","D0800X018","440800A018",NULL,"E280117020001136FADF0B5F","35412204000000440800A018","A",NULL,NULL
"37","D0800X019","440800A019",NULL,"E280117020000146FADF0B5F","35412204000000440800A019","A",NULL,NULL
"38","D0800X019","440800A019",NULL,"E2801170200005D6FADB0B5F","35412204000000440800A019","A",NULL,NULL
"39","D0800X020","440800A020",NULL,"E280117020001156FADF0B5F","35412204000000440800A020","A",NULL,NULL
"40","D0800X020","440800A020",NULL,"E2801170200001B6FADF0B5F","35412204000000440800A020","A",NULL,NULL
"41","D0800X021","440800A021",NULL,"E280117020001166FADF0B5F","35412204000000440800A021","A",NULL,NULL
"42","D0800X021","440800A021",NULL,"E2801170200011C6FADF0B5F","35412204000000440800A021","A",NULL,NULL
"43","D0800X022","440800A022",NULL,"E280117020001336FAE10B5F","35412204000000440800A022","A",NULL,NULL
"44","D0800X022","440800A022",NULL,"E2801170200001D6FADF0B5F","35412204000000440800A022","A",NULL,NULL
"45","D0800X023","440800A023",NULL,"E280117020000346FAE10B5F","35412204000000440800A023","A",NULL,NULL
"46","D0800X023","440800A023",NULL,"E2801170200001E6FADF0B5F","35412204000000440800A023","A",NULL,NULL
"47","D0800X024","440800A024",NULL,"E2801170200003B6FAE10B5F","35412204000000440800A024","A",NULL,NULL
"48","D0800X024","440800A024",NULL,"E280117020001356FAE10B5F","35412204000000440800A024","A",NULL,NULL
"49","D0800X025","440800A025",NULL,"E280117020001366FAE10B5F","35412204000000440800A025","A",NULL,NULL
"50","D0800X025","440800A025",NULL,"E2801170200013C6FAE10B5F","35412204000000440800A025","A",NULL,NULL
"51","D0800X026","440800A026",NULL,"E2801170200003D6FAE10B5F","35412204000000440800A026","A",NULL,NULL
"52","D0800X026","440800A026",NULL,"E280117020000536FAE30B5F","35412204000000440800A026","A",NULL,NULL
"53","D0800X027","440800A027",NULL,"E280117020001546FAE30B5F","35412204000000440800A027","A",NULL,NULL
"54","D0800X027","440800A027",NULL,"E2801170200003E6FAE10B5F","35412204000000440800A027","A",NULL,NULL
"55","D0800X028","440800A028",NULL,"E2801170200015B6FAE30B5F","35412204000000440800A028","A",NULL,NULL
"56","D0800X028","440800A028",NULL,"E280117020000556FAE30B5F","35412204000000440800A028","A",NULL,NULL
"57","D0800X029","440800A029",NULL,"E2801170200005C6FAE30B5F","35412204000000440800A029","A",NULL,NULL
"58","D0800X029","440800A029",NULL,"E2801170200002F8FA970B5F","35412204000000440800A029","A",NULL,NULL
"59","D0800X030","440800A030",NULL,"E2801170200015D6FAE30B5F","35412204000000440800A030","A",NULL,NULL
"60","D0800X030","440800A030",NULL,"E2801170200005A5FAE30B5F","35412204000000440800A030","A",NULL,NULL
"61","D0800X031","440800A031",NULL,"E280117020000595FAE30B5F","35412204000000440800A031","A",NULL,NULL
"62","D0800X031","440800A031",NULL,"E2801170200015E6FAE30B5F","35412204000000440800A031","A",NULL,NULL
"63","D0800X032","440800A032",NULL,"E280117020001525FAE30B5F","35412204000000440800A032","A",NULL,NULL
"64","D0800X032","440800A032",NULL,"E280117020001585FAE30B5F","35412204000000440800A032","A",NULL,NULL
"65","D0800X033","440800A033",NULL,"E280117020001515FAE30B5F","35412204000000440800A033","A",NULL,NULL
"66","D0800X033","440800A033",NULL,"E280117020001575FAE30B5F","35412204000000440800A033","A",NULL,NULL
"67","D0800X034","440800A034",NULL,"E280117020000505FAE30B5F","35412204000000440800A034","A",NULL,NULL
"68","D0800X034","440800A034",NULL,"E2801170200013A5FAE10B5F","35412204000000440800A034","A",NULL,NULL
"69","D0800X035","440800A035",NULL,"E2801170200013F5FAE10B5F","35412204000000440800A035","A",NULL,NULL
"70","D0800X035","440800A035",NULL,"E280117020001395FAE10B5F","35412204000000440800A035","A",NULL,NULL
"71","D0800X036","440800A036",NULL,"E280117020000385FAE10B5F","35412204000000440800A036","A",NULL,NULL
"72","D0800X036","440800A036",NULL,"E280117020000325FAE10B5F","35412204000000440800A036","A",NULL,NULL
"73","D0800X037","440800A037",NULL,"E280117020000375FAE10B5F","35412204000000440800A037","A",NULL,NULL
"74","D0800X037","440800A037",NULL,"E280117020000315FAE10B5F","35412204000000440800A037","A",NULL,NULL
"75","D0800X038","440800A038",NULL,"E280117020001305FAE10B5F","35412204000000440800A038","A",NULL,NULL
"76","D0800X038","440800A038",NULL,"E2801170200011A5FADF0B5F","35412204000000440800A038","A",NULL,NULL
"77","D0800X039","440800A039",NULL,"E2801170200011F5FADF0B5F","35412204000000440800A039","A",NULL,NULL
"78","D0800X039","440800A039",NULL,"E280117020001195FADF0B5F","35412204000000440800A039","A",NULL,NULL
"79","D0800X040","440800A040",NULL,"E280117020000125FADF0B5F","35412204000000440800A040","A",NULL,NULL
"80","D0800X040","440800A040",NULL,"E280117020000185FADF0B5F","35412204000000440800A040","A",NULL,NULL
"81","D0800X041","440800A041",NULL,"E280117020000115FADF0B5F","35412204000000440800A041","A",NULL,NULL
"82","D0800X041","440800A041",NULL,"E280117020000175FADF0B5F","35412204000000440800A041","A",NULL,NULL
"83","D0800X042","440800A042",NULL,"E280117020001595FADB0B5F","35412204000000440800A042","A",NULL,NULL
"84","D0800X042","440800A042",NULL,"E280117020001105FADF0B5F","35412204000000440800A042","A",NULL,NULL
"85","D0800X043","440800A043",NULL,"E280117020000585FADB0B5F","35412204000000440800A043","A",NULL,NULL
"86","D0800X043","440800A043",NULL,"E2801170200005E5FADB0B5F","35412204000000440800A043","A",NULL,NULL
"87","D0800X044","440800A044",NULL,"E280117020000575FADB0B5F","35412204000000440800A044","A",NULL,NULL
"88","D0800X044","440800A044",NULL,"E280117020000515FADB0B5F","35412204000000440800A044","A",NULL,NULL
"89","D0800X045","440800A045",NULL,"E280117020001565FADB0B5F","35412204000000440800A045","A",NULL,NULL
"90","D0800X045","440800A045",NULL,"E280117020001505FADB0B5F","35412204000000440800A045","A",NULL,NULL
"91","D0800X046","440800A046",NULL,"E280117020001395FAD80B5F","35412204000000440800A046","A",NULL,NULL
"92","D0800X046","440800A046",NULL,"E2801170200013F5FAD80B5F","35412204000000440800A046","A",NULL,NULL
"93","D0800X047","440800A047",NULL,"E2801170200003E5FAD80B5F","35412204000000440800A047","A",NULL,NULL
"94","D0800X047","440800A047",NULL,"E280117020000385FAD80B5F","35412204000000440800A047","A",NULL,NULL
"95","D0800X048","440800A048",NULL,"E280117020001305FAD80B5F","35412204000000440800A048","A",NULL,NULL
"96","D0800X048","440800A048",NULL,"E280117020000375FAD80B5F","35412204000000440800A048","A",NULL,NULL
"97","D0800X049","440800A049",NULL,"E2801170200011F5FAD50B5F","35412204000000440800A049","A",NULL,NULL
"98","D0800X049","440800A049",NULL,"E280117020001365FAD80B5F","35412204000000440800A049","A",NULL,NULL
"99","D0800X050","440800A050",NULL,"E2801170200001E5FAD50B5F","35412204000000440800A050","A",NULL,NULL
"100","D0800X050","440800A050",NULL,"E280117020000185FAD50B5F","35412204000000440800A050","A",NULL,NULL
"101","D0800X051","440800A051",NULL,"E2801170200001D5FAD50B5F","35412204000000440800A051","A",NULL,NULL
"102","D0800X051","440800A051",NULL,"E280117020000175FAD50B5F","35412204000000440800A051","A",NULL,NULL
"103","D0800X052","440800A052",NULL,"E280117020001165FAD50B5F","35412204000000440800A052","A",NULL,NULL
"104","D0800X052","440800A052",NULL,"E280117020001105FAD50B5F","35412204000000440800A052","A",NULL,NULL
"105","D0800X053","440800A053",NULL,"E280117020001155FAD50B5F","35412204000000440800A053","A",NULL,NULL
"106","D0800X053","440800A053",NULL,"E2801170200015E5FAD00B5F","35412204000000440800A053","A",NULL,NULL
"107","D0800X054","440800A054",NULL,"E280117020001575FAD00B5F","35412204000000440800A054","A",NULL,NULL
"108","D0800X054","440800A054",NULL,"E2801170200015D5FAD00B5F","35412204000000440800A054","A",NULL,NULL
"109","D0800X055","440800A055",NULL,"E280117020000565FAD00B5F","35412204000000440800A055","A",NULL,NULL
"110","D0800X055","440800A055",NULL,"E2801170200005C5FAD00B5F","35412204000000440800A055","A",NULL,NULL
"111","D0800X056","440800A056",NULL,"E280117020000555FAD00B5F","35412204000000440800A056","A",NULL,NULL
"112","D0800X056","440800A056",NULL,"E2801170200014D8FA980B5F","35412204000000440800A056","A",NULL,NULL
"113","D0800X057","440800A057",NULL,"E280117020000468FA980B5F","35412204000000440800A057","A",NULL,NULL
"114","D0800X057","440800A057",NULL,"E2801170200014E8FA980B5F","35412204000000440800A057","A",NULL,NULL
"115","D0800X058","440800A058",NULL,"E280117020001375FACD0B5F","35412204000000440800A058","A",NULL,NULL
"116","D0800X058","440800A058",NULL,"E2801170200013D5FACD0B5F","35412204000000440800A058","A",NULL,NULL
"117","D0800X059","440800A059",NULL,"E2801170200003C5FACD0B5F","35412204000000440800A059","A",NULL,NULL
"118","D0800X059","440800A059",NULL,"E280117020000365FACD0B5F","35412204000000440800A059","A",NULL,NULL
"119","D0800X060","440800A060",NULL,"E280117020000355FACD0B5F","35412204000000440800A060","A",NULL,NULL
"120","D0800X060","440800A060",NULL,"E2801170200001F5FACA0B5F","35412204000000440800A060","A",NULL,NULL
"121","D0800X061","440800A061",NULL,"E2801170200011E5FACA0B5F","35412204000000440800A061","A",NULL,NULL
"122","D0800X061","440800A061",NULL,"E280117020001345FACD0B5F","35412204000000440800A061","A",NULL,NULL
"123","D0800X062","440800A062",NULL,"E280117020000165FACA0B5F","35412204000000440800A062","A",NULL,NULL
"124","D0800X062","440800A062",NULL,"E2801170200011D5FACA0B5F","35412204000000440800A062","A",NULL,NULL
"125","D0800X063","440800A063",NULL,"E2801170200001C5FACA0B5F","35412204000000440800A063","A",NULL,NULL
"126","D0800X063","440800A063",NULL,"E280117020000155FACA0B5F","35412204000000440800A063","A",NULL,NULL
"127","D0800X064","440800A064",NULL,"E280117020001145FACA0B5F","35412204000000440800A064","A",NULL,NULL
"128","D0800X064","440800A064",NULL,"E2801170200015D5FAC40B5F","35412204000000440800A064","A",NULL,NULL
"129","D0800X065","440800A065",NULL,"E280117020000135FACA0B5F","35412204000000440800A065","A",NULL,NULL
"130","D0800X065","440800A065",NULL,"E2801170200005C5FAC40B5F","35412204000000440800A065","A",NULL,NULL
"131","D0800X066","440800A066",NULL,"E280117020000555FAC40B5F","35412204000000440800A066","A",NULL,NULL
"132","D0800X066","440800A066",NULL,"E2801170200015B5FAC40B5F","35412204000000440800A066","A",NULL,NULL
"133","D0800X067","440800A067",NULL,"E2801170200005A5FAC40B5F","35412204000000440800A067","A",NULL,NULL
"134","D0800X067","440800A067",NULL,"E280117020001545FAC40B5F","35412204000000440800A067","A",NULL,NULL
"135","D0800X068","440800A068",NULL,"E280117020000535FAC40B5F","35412204000000440800A068","A",NULL,NULL
"136","D0800X068","440800A068",NULL,"E2801170200013D5FAC10B5F","35412204000000440800A068","A",NULL,NULL
"137","D0800X069","440800A069",NULL,"E2801170200003C5FAC10B5F","35412204000000440800A069","A",NULL,NULL
"138","D0800X069","440800A069",NULL,"E280117020001525FAC40B5F","35412204000000440800A069","A",NULL,NULL
"139","D0800X070","440800A070",NULL,"E280117020000355FAC10B5F","35412204000000440800A070","A",NULL,NULL
"140","D0800X070","440800A070",NULL,"E2801170200013B5FAC10B5F","35412204000000440800A070","A",NULL,NULL
"141","D0800X071","440800A071",NULL,"E280117020001345FAC10B5F","35412204000000440800A071","A",NULL,NULL
"142","D0800X071","440800A071",NULL,"E2801170200003A5FAC10B5F","35412204000000440800A071","A",NULL,NULL
"143","D0800X072","440800A072",NULL,"E280117020000335FAC10B5F","35412204000000440800A072","A",NULL,NULL
"144","D0800X072","440800A072",NULL,"E2801170200011D5FABD0B5F","35412204000000440800A072","A",NULL,NULL
"145","D0800X073","440800A073",NULL,"E280117020001325FAC10B5F","35412204000000440800A073","A",NULL,NULL
"146","D0800X073","440800A073",NULL,"E2801170200001C5FABD0B5F","35412204000000440800A073","A",NULL,NULL
"147","D0800X074","440800A074",NULL,"E280117020000155FABD0B5F","35412204000000440800A074","A",NULL,NULL
"148","D0800X074","440800A074",NULL,"E2801170200011B5FABD0B5F","35412204000000440800A074","A",NULL,NULL
"149","D0800X075","440800A075",NULL,"E280117020001145FABD0B5F","35412204000000440800A075","A",NULL,NULL
"150","D0800X075","440800A075",NULL,"E2801170200001A5FABD0B5F","35412204000000440800A075","A",NULL,NULL
"151","D0800X076","440800A076",NULL,"E2801170200015C5FAB70B5F","35412204000000440800A076","A",NULL,NULL
"152","D0800X076","440800A076",NULL,"E280117020000135FABD0B5F","35412204000000440800A076","A",NULL,NULL
"153","D0800X077","440800A077",NULL,"E280117020001125FABD0B5F","35412204000000440800A077","A",NULL,NULL
"154","D0800X077","440800A077",NULL,"E2801170200005B5FAB70B5F","35412204000000440800A077","A",NULL,NULL
"155","D0800X078","440800A078",NULL,"E2801170200015A5FAB70B5F","35412204000000440800A078","A",NULL,NULL
"156","D0800X078","440800A078",NULL,"E280117020000545FAB70B5F","35412204000000440800A078","A",NULL,NULL
"157","D0800X079","440800A079",NULL,"E280117020001595FAB70B5F","35412204000000440800A079","A",NULL,NULL
"158","D0800X079","440800A079",NULL,"E280117020001535FAB70B5F","35412204000000440800A079","A",NULL,NULL
"159","D0800X080","440800A080",NULL,"E2801170200013C5FAB40B5F","35412204000000440800A080","A",NULL,NULL
"160","D0800X080","440800A080",NULL,"E280117020000525FAB70B5F","35412204000000440800A080","A",NULL,NULL
"161","D0800X081","440800A081",NULL,"E280117020000515FAB70B5F","35412204000000440800A081","A",NULL,NULL
"162","D0800X081","440800A081",NULL,"E2801170200003B5FAB40B5F","35412204000000440800A081","A",NULL,NULL
"163","D0800X082","440800A082",NULL,"E2801170200013A5FAB40B5F","35412204000000440800A082","A",NULL,NULL
"164","D0800X082","440800A082",NULL,"E280117020000345FAB40B5F","35412204000000440800A082","A",NULL,NULL
"165","D0800X083","440800A083",NULL,"E280117020001395FAB40B5F","35412204000000440800A083","A",NULL,NULL
"166","D0800X083","440800A083",NULL,"E280117020001335FAB40B5F","35412204000000440800A083","A",NULL,NULL
"167","D0800X084","440800A084",NULL,"E280117020000325FAB40B5F","35412204000000440800A084","A",NULL,NULL
"168","D0800X084","440800A084",NULL,"E2801170200011C5FAB00B5F","35412204000000440800A084","A",NULL,NULL
"169","D0800X085","440800A085",NULL,"E2801170200001B5FAB00B5F","35412204000000440800A085","A",NULL,NULL
"170","D0800X085","440800A085",NULL,"E280117020001478FA980B5F","35412204000000440800A085","A",NULL,NULL
"171","D0800X086","440800A086",NULL,"E2801170200011A5FAB00B5F","35412204000000440800A086","A",NULL,NULL
"172","D0800X086","440800A086",NULL,"E280117020001058FA9E0B5F","35412204000000440800A086","A",NULL,NULL
"173","D0800X087","440800A087",NULL,"E280117020001135FAB00B5F","35412204000000440800A087","A",NULL,NULL
"174","D0800X087","440800A087",NULL,"E280117020001195FAB00B5F","35412204000000440800A087","A",NULL,NULL
"175","D0800X088","440800A088",NULL,"E280117020000125FAB00B5F","35412204000000440800A088","A",NULL,NULL
"176","D0800X088","440800A088",NULL,"E2801170200005B5FAAA0B5F","35412204000000440800A088","A",NULL,NULL
"177","D0800X089","440800A089",NULL,"E2801170200015A5FAAA0B5F","35412204000000440800A089","A",NULL,NULL
"178","D0800X089","440800A089",NULL,"E280117020000115FAB00B5F","35412204000000440800A089","A",NULL,NULL
"179","D0800X090","440800A090",NULL,"E280117020001535FAAA0B5F","35412204000000440800A090","A",NULL,NULL
"180","D0800X090","440800A090",NULL,"E280117020001595FAAA0B5F","35412204000000440800A090","A",NULL,NULL
"181","D0800X091","440800A091",NULL,"E280117020000585FAAA0B5F","35412204000000440800A091","A",NULL,NULL
"182","D0800X091","440800A091",NULL,"E280117020000525FAAA0B5F","35412204000000440800A091","A",NULL,NULL
"183","D0800X092","440800A092",NULL,"E280117020000515FAAA0B5F","35412204000000440800A092","A",NULL,NULL
"184","D0800X092","440800A092",NULL,"E2801170200013B5FAA70B5F","35412204000000440800A092","A",NULL,NULL
"185","D0800X093","440800A093",NULL,"E280117020001505FAAA0B5F","35412204000000440800A093","A",NULL,NULL
"186","D0800X093","440800A093",NULL,"E2801170200003A5FAA70B5F","35412204000000440800A093","A",NULL,NULL
