"id","name","full_name","type","device_ip","antennas","location_id","machine_id","groupst","status","parent_id","comment","created","updated"
"1","BS01G01RF01","給線滿軸準備區(1100)","1100","192.167.51.51","2",NULL,"1",NULL,NULL,NULL,"給線滿軸準備區(1100)","2023-10-24 13:20:52","2023-10-26 08:38:33"
"2","BS01G02RF01","給線滿軸準備區(1100)","1100","192.167.51.51","1",NULL,"1",NULL,NULL,NULL,"給線滿軸準備區(1100)","2023-10-24 13:20:52","2023-10-26 08:39:00"
"3","BS01G03RF01","給線滿軸準備區(1100)","1100",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線滿軸準備區(1100)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"4","BS01G04RF01","給線滿軸準備區(1100)","1100",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線滿軸準備區(1100)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"5","BS01G05RF01","給線滿軸準備區(1100)","1100",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線滿軸準備區(1100)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"6","BS01G01RE01","給線空軸準備區(1200)","1200",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線空軸準備區(1200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"7","BS01G02RE01","給線空軸準備區(1200)","1200",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線空軸準備區(1200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"8","BS01G03RE01","給線空軸準備區(1200)","1200",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線空軸準備區(1200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"9","BS01G04RE01","給線空軸準備區(1200)","1200",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線空軸準備區(1200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"10","BS01G05RE01","給線空軸準備區(1200)","1200",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線空軸準備區(1200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"11","BS01G01","給線機(1300)","1300",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線機(1300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"12","BS01G02","給線機(1300)","1300",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線機(1300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"13","BS01G03","給線機(1300)","1300",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線機(1300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"14","BS01G04","給線機(1300)","1300",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線機(1300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"15","BS01G05","給線機(1300)","1300",NULL,"0",NULL,"1",NULL,NULL,NULL,"給線機(1300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"16","BS01T01","捲取機(2300)","2300",NULL,"0",NULL,"1",NULL,NULL,NULL,"捲取機(2300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"17","BS01T01RF01","捲取滿軸準備區(2100)","2100",NULL,"0",NULL,"1",NULL,NULL,NULL,"捲取滿軸準備區(2100)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"18","BS01T01RE01","捲取空軸準備區(2200)","2200",NULL,"0",NULL,"1",NULL,NULL,NULL,"捲取空軸準備區(2200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"19","CS01T01","捲取機(2300)","2300",NULL,"0",NULL,"2",NULL,NULL,NULL,"捲取機(2300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"20","CS01T02","捲取機(2300)","2300",NULL,"0",NULL,"2",NULL,NULL,NULL,"捲取機(2300)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"21","CS01T01RF01","捲取滿軸準備區(2100)","2100",NULL,"0",NULL,"2",NULL,NULL,NULL,"捲取滿軸準備區(2100)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"22","CS01T02RF01","捲取滿軸準備區(2100)","2100",NULL,"0",NULL,"2",NULL,NULL,NULL,"捲取滿軸準備區(2100)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"23","CS01T01RE01","捲取空軸準備區(2200)","2200",NULL,"0",NULL,"2",NULL,NULL,NULL,"捲取空軸準備區(2200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
"24","CS01T02RE01","捲取空軸準備區(2200)","2200",NULL,"0",NULL,"2",NULL,NULL,NULL,"捲取空軸準備區(2200)","2023-10-24 13:20:52","2023-10-24 13:20:52"
