"id","order_number","reel_number","virtual_devices_id","up_time","down_time","production_time","average_line_speed","real_time_meter","created","updated","status","comment"
"4940",,"D0800X001","145","2023-11-29 15:35:58",NULL,"2023-11-29 15:36:38","0","0","2023-11-29 15:35:58","2023-11-29 15:36:38","1","The reel is in operation on the machine."
"4895",,"D0800X001","153","2023-11-29 10:57:09",NULL,"2023-11-29 10:57:09","0","0","2023-11-29 10:57:09","2023-11-29 10:57:09","1","The reel is loaded onto the machine."
"4984",,"D0800X001","160","2023-11-29 18:05:37",NULL,"2023-11-29 18:17:57","0","0","2023-11-29 18:05:37","2023-11-29 18:17:57","1","The reel is in operation on the machine."
"4942",,"D0800X002","153","2023-11-29 15:35:58",NULL,"2023-11-29 15:36:38","0","0","2023-11-29 15:35:58","2023-11-29 15:36:38","1","The reel is in operation on the machine."
"4896",,"D0800X003","145","2023-11-29 10:57:09",NULL,"2023-11-29 10:57:09","0","0","2023-11-29 10:57:09","2023-11-29 10:57:09","1","The reel is loaded onto the machine."
"121","3AK711","D0800X003","146","2023-11-21 16:45:31",NULL,"2023-11-21 16:56:22","0","0","2023-11-21 16:45:31","2023-11-21 16:56:22","1","The reel is in operation on the machine."
"92","859961","D0800X004","149","2023-11-21 15:49:36",NULL,"2023-11-21 15:50:44","0","0","2023-11-21 15:49:36","2023-11-21 15:50:44","1","The reel is loaded onto the machine."
"4985",,"D0800X004","153","2023-11-29 18:05:37",NULL,"2023-11-29 18:17:57","0","0","2023-11-29 18:05:37","2023-11-29 18:17:57","1","The reel is in operation on the machine."
"4987",,"D0800X005","145","2023-11-29 18:05:37",NULL,"2023-11-29 18:17:57","0","0","2023-11-29 18:05:37","2023-11-29 18:17:57","1","The reel is in operation on the machine."
"4941",,"D0800X005","160","2023-11-29 15:35:58",NULL,"2023-11-29 15:36:38","0","0","2023-11-29 15:35:58","2023-11-29 15:36:38","1","The reel is in operation on the machine."
"20","0023P9","D0800X006","154","2023-11-20 16:43:48",NULL,"2023-11-20 16:54:29","0","0","2023-11-20 16:43:48","2023-11-20 16:54:29","1","The reel is in operation on the machine."
"53","2311XS","D0800X010","158","2023-11-21 16:10:26",NULL,"2023-11-21 16:11:06","0","0","2023-11-21 16:10:26","2023-11-21 16:11:06","1","The reel is in operation on the machine."
"9","GB4500","D0800X025","147","2023-11-17 19:08:54","2023-11-17 19:08:54","2023-11-17 19:08:54","0","0","2023-11-17 19:08:54","2023-11-17 14:58:07","1","Richard Test"
"1","QS6088","D0800X035","157","2023-11-17 19:08:54","2023-11-17 19:08:54","2023-11-17 19:08:54","0","0","2023-11-17 19:08:54","2023-11-17 19:08:54","1","Richard Test"
