"sn","seqno","antenna","command","commandstring","count","count_rssi","count_start","count_transfer","device_ip","device_mac","tid","epc","max_rssi","min_rssi","offline_data","operation","output_mode","rssi","timestamp","usr","version","received","count_gap","interval_time","rssi_average","rssi_median","speed_average","speed_gap","speed_median","rawdata"
"1452000","66495","1","35","URC_CMD_RFID_Inven_Receive","1","-21","2023-11-29 18:18:59.154","2023-11-29 18:18:59.155","192.168.249.52","4e:00:24:52:9b:06","E28011052000768EA6920A68","AAAAAAAAAAAAAA12300000E1","-20.7","-20.7","0","0","1","-20.7","2023-11-29 18:18:58.860",,"10002","2023-11-29 18:19:00.489","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-21,""count_start"":1701253139154,""count_transfer"":1701253139155,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""AAAAAAAAAAAAAA12300000E1"",""interval"":1000,""max_rssi"":-2070,""min_rssi"":-2070,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2070,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66495,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000768EA6920A68"",""timestamp"":1701253138860,""usr"":"""",""version"":10002}"
"1452001","61952","1","35","URC_CMD_RFID_Inven_Receive","1","-27","2020-11-27 12:15:45.648","2020-11-27 12:15:45.648","192.168.249.51","14:00:8b:c2:27:f9","E28011052000754EA6920A68","AAAAAAAAAAAAAA11300000E0","-26.7","-26.7","0","0","1","-26.7","2020-11-27 12:15:45.640",,"10002","2023-11-29 18:19:00.490","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-27,""count_start"":1606450545648,""count_transfer"":1606450545648,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.51"",""device_mac"":""14:00:8b:c2:27:f9"",""epc"":""AAAAAAAAAAAAAA11300000E0"",""interval"":1000,""max_rssi"":-2670,""min_rssi"":-2670,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2670,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":61952,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000754EA6920A68"",""timestamp"":1606450545640,""usr"":"""",""version"":10002}"
"1452002","61953","1","35","URC_CMD_RFID_Inven_Receive","1","-25","2020-11-27 12:15:45.676","2020-11-27 12:15:45.676","192.168.249.51","14:00:8b:c2:27:f9","E28011052000764EA6920A68","AAAAAAAAAAAAAA11300000E0","-25","-25","0","0","1","-25","2020-11-27 12:15:45.667",,"10002","2023-11-29 18:19:00.490","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-25,""count_start"":1606450545676,""count_transfer"":1606450545676,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.51"",""device_mac"":""14:00:8b:c2:27:f9"",""epc"":""AAAAAAAAAAAAAA11300000E0"",""interval"":1000,""max_rssi"":-2500,""min_rssi"":-2500,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2500,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":61953,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000764EA6920A68"",""timestamp"":1606450545667,""usr"":"""",""version"":10002}"
"1452003","61954","1","35","URC_CMD_RFID_Inven_Receive","1","-27","2020-11-27 12:15:45.684","2020-11-27 12:15:45.684","192.168.249.51","14:00:8b:c2:27:f9","E28011052000754EA6920A68","AAAAAAAAAAAAAA11300000E0","-26.7","-26.7","0","0","1","-26.7","2020-11-27 12:15:45.678",,"10002","2023-11-29 18:19:00.490","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-27,""count_start"":1606450545684,""count_transfer"":1606450545684,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.51"",""device_mac"":""14:00:8b:c2:27:f9"",""epc"":""AAAAAAAAAAAAAA11300000E0"",""interval"":1000,""max_rssi"":-2670,""min_rssi"":-2670,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2670,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":61954,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000754EA6920A68"",""timestamp"":1606450545678,""usr"":"""",""version"":10002}"
"1452004","66496","1","35","URC_CMD_RFID_Inven_Receive","1","-23","2023-11-29 18:18:59.164","2023-11-29 18:18:59.164","192.168.249.52","4e:00:24:52:9b:06","E28011052000768EA6920A68","AAAAAAAAAAAAAA12300000E1","-22.5","-22.5","0","0","1","-22.5","2023-11-29 18:18:58.910",,"10002","2023-11-29 18:19:00.517","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-23,""count_start"":1701253139164,""count_transfer"":1701253139164,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""AAAAAAAAAAAAAA12300000E1"",""interval"":1000,""max_rssi"":-2250,""min_rssi"":-2250,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2250,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66496,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000768EA6920A68"",""timestamp"":1701253138910,""usr"":"""",""version"":10002}"
"1452005","66497","1","35","URC_CMD_RFID_Inven_Receive","1","-23","2023-11-29 18:18:59.175","2023-11-29 18:18:59.175","192.168.249.52","4e:00:24:52:9b:06","E28011052000768EA6920A68","AAAAAAAAAAAAAA12300000E1","-22.5","-22.5","0","0","1","-22.5","2023-11-29 18:18:58.942",,"10002","2023-11-29 18:19:00.517","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-23,""count_start"":1701253139175,""count_transfer"":1701253139175,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""AAAAAAAAAAAAAA12300000E1"",""interval"":1000,""max_rssi"":-2250,""min_rssi"":-2250,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2250,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66497,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000768EA6920A68"",""timestamp"":1701253138942,""usr"":"""",""version"":10002}"
"1452006","66498","1","35","URC_CMD_RFID_Inven_Receive","1","-24","2023-11-29 18:18:59.184","2023-11-29 18:18:59.184","192.168.249.52","4e:00:24:52:9b:06","E28011052000768EA6920A68","AAAAAAAAAAAAAA12300000E1","-23.2","-23.2","0","0","1","-23.2","2023-11-29 18:18:58.965",,"10002","2023-11-29 18:19:00.518","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-24,""count_start"":1701253139184,""count_transfer"":1701253139184,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""AAAAAAAAAAAAAA12300000E1"",""interval"":1000,""max_rssi"":-2320,""min_rssi"":-2320,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2320,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66498,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000768EA6920A68"",""timestamp"":1701253138965,""usr"":"""",""version"":10002}"
"1452007","94733","1","35","URC_CMD_RFID_Inven_Receive","1","-43","2020-11-27 12:11:16.038","2020-11-27 12:11:16.038","192.168.249.53","44:00:21:25:2c:aa","E28011052000778EA69B0A68","AAAAAAAAAAAAAAFE300000CE","-42.3","-42.3","0","0","1","-42.3","2020-11-27 12:11:16.035",,"10002","2023-11-29 18:19:00.538","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-43,""count_start"":1606450276038,""count_transfer"":1606450276038,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.53"",""device_mac"":""44:00:21:25:2c:aa"",""epc"":""AAAAAAAAAAAAAAFE300000CE"",""interval"":1000,""max_rssi"":-4230,""min_rssi"":-4230,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-4230,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":94733,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000778EA69B0A68"",""timestamp"":1606450276035,""usr"":"""",""version"":10002}"
"1452008","94734","1","35","URC_CMD_RFID_Inven_Receive","1","-25","2020-11-27 12:11:16.068","2020-11-27 12:11:16.068","192.168.249.53","44:00:21:25:2c:aa","E28011052000784EA6A20A68","AAAAAAAAAAAAAAFE300000CE","-24.2","-24.2","0","0","1","-24.2","2020-11-27 12:11:16.064",,"10002","2023-11-29 18:19:00.538","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-25,""count_start"":1606450276068,""count_transfer"":1606450276068,""device_id"":""arizon-rfid"",""device_ip"":""192.168.249.53"",""device_mac"":""44:00:21:25:2c:aa"",""epc"":""AAAAAAAAAAAAAAFE300000CE"",""interval"":1000,""max_rssi"":-2420,""min_rssi"":-2420,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2420,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":94734,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000784EA6A20A68"",""timestamp"":1606450276064,""usr"":"""",""version"":10002}"
"1452009","66499","1","35","URC_CMD_RFID_Inven_Receive","1","-22","2023-11-29 18:18:59.194","2023-11-29 18:18:59.194","192.168.249.52","4e:00:24:52:9b:06","E28011052000768EA6920A68","AAAAAAAAAAAAAA12300000E1","-21.9","-21.9","0","0","1","-21.9","2023-11-29 18:18:58.998",,"10002","2023-11-29 18:19:00.544","9999","1000","-20","-20","9999","9999","9999","{""antenna"":1,""command"":35,""commandstring"":""URC_CMD_RFID_Inven_Receive"",""count"":1,""count_gap"":9999,""count_rssi"":-22,""count_start"":1701253139194,""count_transfer"":1701253139194,""device_id"":""AL800-249-052"",""device_ip"":""192.168.249.52"",""device_mac"":""4e:00:24:52:9b:06"",""epc"":""AAAAAAAAAAAAAA12300000E1"",""interval"":1000,""max_rssi"":-2190,""min_rssi"":-2190,""offline_data"":false,""operation"":0,""output_mode"":1,""rssi"":-2190,""rssi_average"":-2000,""rssi_median"":-2000,""seqno"":66499,""speed_average"":9999,""speed_gap"":9999,""speed_median"":9999,""tid"":""E28011052000768EA6920A68"",""timestamp"":1701253138998,""usr"":"""",""version"":10002}"
